,,Time,Time,Path length,Path length,Iterations,Iterations,Memory,Memory,Visited,Visited
,,mean,std,mean,std,mean,std,mean,std,mean,std
Maze size,Algorithm,,,,,,,,,,
"(5, 5)",Astar,0.0007204000000000001,0.00018490550139042497,16.6,2.836272984824353,0.0,0.0,3410.9,1574.6112359704675,28.5,8.316649966583098
"(5, 5)",Breadthfirst,0.0007199000000000001,0.0001127893316468066,16.6,2.836272984824353,0.0,0.0,4134.0,6200.479569266307,49.2,5.30827446330517
"(5, 5)",Depthfirst,0.0004978,0.00020616002414521484,17.2,3.2930904093942583,0.0,0.0,1877.6,225.48081958339606,36.0,11.841546445554409
"(5, 5)",MDPPolicyIteration,0.0310506,0.007557030474994791,16.6,2.836272984824353,12.7,3.0930028559098792,3894.6,1225.5428910396313,0.0,0.0
"(5, 5)",MDPValueIteration,0.055983899999999996,0.007457238473829005,16.6,2.836272984824353,42.7,5.618422079789544,6432.1,2012.36612805258,0.0,0.0
"(10, 10)",Astar,0.0016213000000000002,0.0005160116385423017,31.0,2.8674417556808756,0.0,0.0,4659.9,1366.8816456933403,68.2,20.492817169817222
"(10, 10)",Breadthfirst,0.0024157000000000002,0.0007675439980150252,31.0,2.8674417556808756,0.0,0.0,3822.9,752.9151420386703,153.2,41.66746665898682
"(10, 10)",Depthfirst,0.0022861,0.0008487800984681225,49.8,12.272824541327973,0.0,0.0,3834.1,833.1975155987925,151.4,50.000444442469146
"(10, 10)",MDPPolicyIteration,0.2020114,0.07611970473639237,31.0,2.8674417556808756,20.5,7.820912137766711,11166.6,83.12667709252224,0.0,0.0
"(10, 10)",MDPValueIteration,0.2760749,0.05454480408791371,31.0,2.8674417556808756,53.3,10.55198770111321,13680.4,361.35153705683,0.0,0.0
"(20, 20)",Astar,0.007264700000000001,0.0041000638219964875,61.8,6.957010852370436,0.0,0.0,16983.8,8488.669177203219,294.3,157.52816326683373
"(20, 20)",Breadthfirst,0.0177449,0.0038884706062352536,61.4,6.736302975503534,0.0,0.0,16507.2,8506.787261423146,737.6,109.87184453818101
"(20, 20)",Depthfirst,0.0089018,0.0053725965127570195,155.0,69.12307863514182,0.0,0.0,9043.4,3576.046643991099,460.6,213.72838422217632
"(20, 20)",MDPPolicyIteration,2.0910415,0.41840953568702677,61.4,6.736302975503534,51.4,9.901739465591106,40888.0,0.0,0.0,0.0
"(20, 20)",MDPValueIteration,1.8961747,0.23978372917047558,61.4,6.736302975503534,93.6,11.423173328322077,44759.1,389.26239365126344,0.0,0.0
"(50, 50)",Astar,0.0371776,0.013433670650851746,159.8,17.26782492897637,0.0,0.0,139195.9,75685.69922816036,1459.1,526.7382757224988
"(50, 50)",Breadthfirst,0.3955803,0.08678618553158228,159.8,17.26782492897637,0.0,0.0,503798.8,79582.01976270213,4765.1,616.7712433849902
"(50, 50)",Depthfirst,0.1928457,0.14060532191212077,574.4,347.35546954412877,0.0,0.0,291700.6,176293.05479683538,3115.6,1384.6153256410244
"(50, 50)",MDPPolicyIteration,32.5371345,8.462880452184919,159.8,17.26782492897637,134.6,39.095893504163435,245425.6,106.2525293816589,0.0,0.0
"(50, 50)",MDPValueIteration,17.8597779,2.9862827192924963,159.8,17.26782492897637,148.0,27.60837232113154,251237.0,850.6730668515784,0.0,0.0
